file,optimum,cost,time,mem,ratio
eil51,426,NA,NA,NA,NA
berlin52,7542,NA,NA,NA,NA
st70,675,NA,NA,NA,NA
pr76,108159,NA,NA,NA,NA
eil76,538,NA,NA,NA,NA
rat99,1211,NA,NA,NA,NA
rd100,7910,NA,NA,NA,NA
kroB100,22141,NA,NA,NA,NA
kroD100,21294,NA,NA,NA,NA
kroA100,21282,NA,NA,NA,NA
kroC100,20749,NA,NA,NA,NA
kroE100,22068,NA,NA,NA,NA
eil101,629,NA,NA,NA,NA
lin105,14379,NA,NA,NA,NA
pr107,44303,NA,NA,NA,NA
pr124,59030,NA,NA,NA,NA
bier127,118282,NA,NA,NA,NA
ch130,6110,NA,NA,NA,NA
pr136,96772,NA,NA,NA,NA
pr144,58537,NA,NA,NA,NA
kroA150,26524,NA,NA,NA,NA
ch150,6528,NA,NA,NA,NA
kroB150,26130,NA,NA,NA,NA
pr152,73682,NA,NA,NA,NA
u159,42080,NA,NA,NA,NA
rat195,2323,NA,NA,NA,NA
d198,15780,NA,NA,NA,NA
kroB200,29437,NA,NA,NA,NA
kroA200,29368,NA,NA,NA,NA
tsp225,3916,NA,NA,NA,NA
ts225,126643,NA,NA,NA,NA
pr226,80369,NA,NA,NA,NA
gil262,2378,NA,NA,NA,NA
pr264,49135,NA,NA,NA,NA
a280,2579,NA,NA,NA,NA
pr299,48191,NA,NA,NA,NA
linhp318,41345,NA,NA,NA,NA
lin318,42029,NA,NA,NA,NA
rd400,15281,NA,NA,NA,NA
fl417,11861,NA,NA,NA,NA
pr439,107217,NA,NA,NA,NA
pcb442,50778,NA,NA,NA,NA
d493,35002,NA,NA,NA,NA
u574,36905,NA,NA,NA,NA
rat575,6773,NA,NA,NA,NA
p654,34643,NA,NA,NA,NA
d657,48912,NA,NA,NA,NA
u724,41910,NA,NA,NA,NA
rat783,8806,NA,NA,NA,NA
pr1002,259045,NA,NA,NA,NA
u1060,224094,NA,NA,NA,NA
vm1084,239297,NA,NA,NA,NA
pcb1173,56892,NA,NA,NA,NA
d1291,50801,NA,NA,NA,NA
rl1304,252948,NA,NA,NA,NA
rl1323,270199,NA,NA,NA,NA
nrw1379,56638,NA,NA,NA,NA
fl1400,20127,NA,NA,NA,NA
u1432,152970,NA,NA,NA,NA
fl1577,22249,NA,NA,NA,NA
d1655,62128,NA,NA,NA,NA
vm1748,336556,NA,NA,NA,NA
u1817,57201,NA,NA,NA,NA
rl1889,316536,NA,NA,NA,NA
d2103,80450,NA,NA,NA,NA
u2152,64253,NA,NA,NA,NA
u2319,234256,NA,NA,NA,NA
pr2392,378032,NA,NA,NA,NA
pcb3038,137694,NA,NA,NA,NA
fl3795,28772,NA,NA,NA,NA
fnl4461,182566,NA,NA,NA,NA
rl5915,565530,NA,NA,NA,NA
rl5934,556045,NA,NA,NA,NA
rl11849,923288,NA,NA,NA,NA
