file,optimum,cost,time,mem,ratio
eil51,426,489.289903585494,0.028213024139404297,680.3681640625,1.1486
berlin52,7542,8542.921552567146,0.02483510971069336,557.685546875,1.1327
st70,675,759.1699477625732,0.06095480918884277,997.802734375,1.1247
pr76,108159,116683.53464597449,0.03684830665588379,1014.263671875,1.0788
eil76,538,620.6683013808204,0.07960772514343262,1147.638671875,1.1537
rat99,1211,1367.431978722476,0.08762383460998535,1879.169921875,1.1292
rd100,7910,8809.720575837164,0.1835179328918457,2119.021484375,1.1137
kroB100,22141,23994.539111423965,0.08157992362976074,1892.216796875,1.0837
kroD100,21294,23536.36091666385,0.11138701438903809,1950.044921875,1.1053
kroA100,21282,24213.26854308169,0.11758613586425781,2021.201171875,1.1377
kroC100,20749,23483.889909134894,0.11051702499389648,2023.716796875,1.1318
kroE100,22068,23782.60705318694,0.14940810203552246,2090.427734375,1.0777
eil101,629,723.6014002629851,0.15965890884399414,2154.583984375,1.1504
lin105,14379,16432.032989843294,0.10576891899108887,2068.021484375,1.1428
pr107,44303,47908.94274807253,0.07548904418945312,2235.365234375,1.0814
pr124,59030,64667.63766910584,0.06787514686584473,2799.8828125,1.0955
bier127,118282,132533.18039583095,0.2976391315460205,3258.349609375,1.1205
ch130,6110,6777.77974087376,0.1625690460205078,3054.0078125,1.1093
pr136,96772,103772.91231782282,0.06230664253234863,3326.71875,1.0723
pr144,58537,70611.60136250491,0.06640410423278809,3705.4921875,1.2063
kroA150,26524,29939.702841481725,0.5760228633880615,4147.0234375,1.1288
ch150,6528,7186.518258178109,0.18373990058898926,4005.921875,1.1009
kroB150,26130,29946.872882463733,0.44348907470703125,4019.076171875,1.1461
pr152,73682,79369.84655132666,0.06727194786071777,4104.265625,1.0772
u159,42080,47766.16198592956,0.24464011192321777,4471.5234375,1.1351
rat195,2323,2664.56480693949,0.4612710475921631,7471.3359375,1.147
d198,15780,17357.359769442563,0.5256800651550293,7692.7265625,1.1
kroB200,29437,33140.89353553953,0.6434969902038574,7829.0625,1.1258
kroA200,29368,33348.59614202054,1.1962890625,7829.2109375,1.1355
tsp225,3916,4431.447409635233,0.6077868938446045,9679.546875,1.1316
ts225,126643,136160.85001923383,0.1448969841003418,9678.0546875,1.0752
pr226,80369,93175.38541837355,0.4637179374694824,9755.046875,1.1593
gil262,2378,2708.2155715619374,1.504615068435669,12789.16796875,1.1389
pr264,49135,54663.60243427483,0.6444511413574219,13155.51953125,1.1125
a280,2579,2969.889947033024,1.0610980987548828,14626.24609375,1.1516
pr299,48191,53310.889603711454,1.516469955444336,16647.51953125,1.1062
linhp318,41345,47363.14496775557,2.5852792263031006,18935.19140625,1.1456
lin318,42029,47363.14496775557,1.880457878112793,18792.87109375,1.1269
rd400,15281,17640.935016140804,7.911396026611328,33238.31640625,1.1544
fl417,11861,13436.602161597963,3.1583168506622314,35645.62890625,1.1328
pr439,107217,120685.5993081367,2.382122039794922,39258.41015625,1.1256
pcb442,50778,55509.77131151101,6.002887964248657,39888.61328125,1.0932
d493,35002,38719.17752976775,10.209343910217285,48844.39453125,1.1062
u574,36905,41357.742232947254,16.206119060516357,64912.28515625,1.1207
rat575,6773,7841.003494672217,18.64202117919922,65117.25390625,1.1577
p654,34643,39246.560276309814,2.7978498935699463,82852.05078125,1.1329
d657,48912,55143.86862739549,24.179996013641357,83412.73828125,1.1274
u724,41910,47809.28446471694,30.971413135528564,113532.73828125,1.1408
rat783,8806,10150.34868191298,46.686132192611694,130533.87890625,1.1527
pr1002,259045,287967.68651156785,69.12945199012756,203971.28515625,1.1117
u1060,224094,250977.06957730325,94.12412905693054,226337.51953125,1.12
vm1084,239297,263730.78586993966,48.0208477973938,236079.12890625,1.1021
pcb1173,56892,63903.09362013173,86.80434894561768,273036.29296875,1.1232
d1291,50801,57997.40355765258,22.65194821357727,325585.27734375,1.1417
rl1304,252948,280824.8426986079,22.778988122940063,332546.03515625,1.1102
rl1323,270199,301003.4589056153,23.262889862060547,341281.02734375,1.114
nrw1379,56638,64641.8797209723,310.44067883491516,418823.51953125,1.1413
fl1400,20127,22828.82959973893,288.2477729320526,429912.86328125,1.1342
u1432,152970,172355.9945009846,91.31684589385986,447071.19140625,1.1267
fl1577,22249,24573.528523484994,58.06174111366272,531265.75390625,1.1045
d1655,62128,70835.64841255506,115.56220197677612,579612.12890625,1.1402
vm1748,336556,379674.5729288297,172.45597505569458,639711.22265625,1.1281
u1817,57201,66832.96594079198,132.16996383666992,685044.50390625,1.1684
rl1889,316536,346928.44399561326,70.74978709220886,735668.64453125,1.096
d2103,80450,84509.32913585201,16.636358976364136,895211.00390625,1.0505
