file,optimum,cost,time,mem,ratio
eil51,426,640.9012229251007,0.007119178771972656,537.3330078125,1.5045
berlin52,7542,10116.014495510826,0.005463123321533203,450.359375,1.3413
st70,675,873.3514856717352,0.011397838592529297,822.3984375,1.2939
pr76,108159,145338.11445183848,0.011378049850463867,920.921875,1.3437
eil76,538,707.1533198611806,0.01171875,920.9921875,1.3144
rat99,1211,1723.2250451508614,0.021404027938842773,1832.515625,1.423
rd100,7910,10791.655815950702,0.02144789695739746,1866.4375,1.3643
kroB100,22141,25881.199893685625,0.02037501335144043,1866.3828125,1.1689
kroD100,21294,27113.29664042698,0.019965171813964844,1866.328125,1.2733
kroA100,21282,27211.67972921635,0.021975994110107422,1866.2890625,1.2786
kroC100,20749,27966.54136375163,0.020642995834350586,1866.203125,1.3479
kroE100,22068,30507.419046823474,0.02027273178100586,1866.1953125,1.3824
eil101,629,830.5422075548881,0.02228093147277832,1900.8515625,1.3204
lin105,14379,19498.408788813624,0.02225494384765625,2046.484375,1.356
pr107,44303,54238.03661175547,0.022858142852783203,2118.609375,1.2243
pr124,59030,74140.95964828487,0.03243613243103027,2799.5859375,1.256
bier127,118282,158637.60615918832,0.03327584266662598,2924.46875,1.3412
ch130,6110,8128.757281130948,0.03510785102844238,3053.7109375,1.3304
pr136,96772,151913.74200165656,0.038735151290893555,3326.421875,1.5698
pr144,58537,80596.32004796875,0.041298866271972656,3705.1953125,1.3768
kroA150,26524,35122.56680105931,0.0465087890625,4005.4375,1.3242
ch150,6528,8333.472170089168,0.06368589401245117,4147.765625,1.2766
kroB150,26130,36154.73394030785,0.04526066780090332,4005.4140625,1.3836
pr152,73682,87998.6939814051,0.04572606086730957,4103.96875,1.1943
u159,42080,57787.974410195486,0.05071377754211426,4471.2265625,1.3733
rat195,2323,3317.723252056972,0.08047890663146973,7471.0390625,1.4282
d198,15780,19218.43305436619,0.08068084716796875,7692.4296875,1.2179
kroB200,29437,40710.95987899587,0.08167004585266113,7828.765625,1.383
kroA200,29368,40030.86635119212,0.08266806602478027,7828.75,1.3631
tsp225,3916,5115.932581284439,0.13228797912597656,9679.234375,1.3064
ts225,126643,188009.70162933244,0.10009384155273438,9678.1640625,1.4846
pr226,80369,116692.15371518278,0.10288405418395996,9754.75,1.452
gil262,2378,3358.1541767582894,0.14183807373046875,12788.87109375,1.4122
pr264,49135,66466.8417493333,0.139998197555542,13012.90234375,1.3527
a280,2579,3629.7203051092397,0.20307397842407227,14768.26953125,1.4074
pr299,48191,64646.03471992065,0.1821599006652832,16647.22265625,1.3415
linhp318,41345,58145.441917056065,0.2089390754699707,18792.57421875,1.4063
lin318,42029,58145.441917056065,0.2568199634552002,18934.89453125,1.3835
rd400,15281,20250.376744292647,0.34247303009033203,33095.69921875,1.3252
fl417,11861,16297.174640391935,0.4345431327819824,35787.48828125,1.374
pr439,107217,144624.15787804432,0.49471402168273926,39258.09765625,1.3489
pcb442,50778,69364.90250618651,0.4098482131958008,39746.40234375,1.366
d493,35002,45427.08884703529,0.6653842926025391,48844.09765625,1.2978
u574,36905,49083.15193822763,0.9258520603179932,64911.28515625,1.33
rat575,6773,9438.933433360664,0.8429470062255859,64976.47265625,1.3936
p654,34643,49731.89542216019,1.0490269660949707,82852.45703125,1.4356
d657,48912,65730.19370040316,1.1662373542785645,83553.89453125,1.3438
u724,41910,57779.66789292217,1.535465955734253,113532.44140625,1.3787
rat783,8806,12054.453156740949,1.6720409393310547,130534.41796875,1.3689
pr1002,259045,342244.46239584225,2.7068722248077393,204112.37890625,1.3212
u1060,224094,302914.8663669418,3.225511074066162,226338.12890625,1.3517
vm1084,239297,315268.3487491507,3.24745512008667,236078.83203125,1.3175
pcb1173,56892,80694.8928627429,3.9252870082855225,273036.90234375,1.4184
d1291,50801,74658.29731002661,4.581877946853638,325584.98046875,1.4696
rl1304,252948,347782.57034149766,4.962929964065552,332546.64453125,1.3749
rl1323,270199,380421.587604229,5.007185220718384,341280.73046875,1.4079
nrw1379,56638,79156.2650653691,5.498619079589844,418823.22265625,1.3976
fl1400,20127,27915.52347719665,5.57491397857666,429912.56640625,1.387
u1432,152970,214430.78054791197,5.765496015548706,447212.28515625,1.4018
fl1577,22249,31223.096666973648,6.8158910274505615,531124.97265625,1.4033
d1655,62128,85681.0784168341,7.8359479904174805,579611.83203125,1.3791
vm1748,336556,444658.6319423448,9.107143878936768,639710.92578125,1.3212
u1817,57201,83501.55577440909,9.7693030834198,685044.20703125,1.4598
rl1889,316536,449811.48817322083,11.614166975021362,735668.34765625,1.421
d2103,80450,124533.87160392563,13.172495126724243,895210.70703125,1.548
u2152,64253,95076.21583494876,14.537735939025879,932949.95703125,1.4797
u2319,234256,320532.84102777723,17.61318802833557,1069827.23828125,1.3683
pr2392,378032,523132.9069393881,18.42902421951294,1134181.91015625,1.3838
pcb3038,137694,196573.89922196095,30.14813494682312,1989655.48828125,1.4276
fl3795,28772,NA,NA,NA,NA
fnl4461,182566,254671.62750690823,182.48925805091858,3994348.94921875,1.395
rl5915,565530,840348.3558001819,734.4058356285095,7583729.97265625,1.4859
rl5934,556045,827482.3360284586,691.7196009159088,7626153.22265625,1.4882
